Source,Reference,Translation
બેરિયર ભાંગી ગયા પછી સેન્ટ્રલ પાર્કમાં હજારો ગભરાટમાં,Thousands in Central Park panic after barrier collapse,"After the barrier was broken, thousands panicked in Central Park. 


Let me know if you have any other Gujarati text you'd like me to translate!"
એક રાજકીય કાર્યક્રમમાં પોલીસ બેરીયરના ભંગાણને કારણે સેન્ટ્રલ પાર્કમાં નાસભાગ કરતાં હજારો લોકો સંભવિત બંદૂકની ગોળીઓના ભયથી મુશ્કેલીમાં મુકાયા.,"The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.","Thousands of people were caught in a dangerous situation at Central Park after breaking through police barriers during a political event, fearing possible gunshots. 


Let me know if you have any other Gujarati text you'd like me to translate!"
ડેમોક્રેટિક ન્યૂયોર્ક સરકારની મોટી નામી હસ્તીઓ એન્ડ્ર્યુ કુમો અને જેનેટ જેક્સનના રિપબ્લિકન સેન જેફ ફ્લેક અને જ્હોન લેજેન્ડએ પ્રેક્ષકોને રાષ્ટ્રની મુશ્કેલીમાં રહેલા રાજકારણમાં સામેલ થવા વિનંતી કરી.,Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,"Prominent figures of the Democratic New York government, Andrew Cuomo and Janet Jackson, were challenged by Republican Senator Jeff Flake and John Legend to engage in the nation's political landscape amidst the country's difficulties. 


Let me know if you have any other Gujarati text you'd like me to translate!"
શનિવારે સાંજે બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી કે તેઓ સલામત છે.,Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,"After the barrier was erected on Saturday evening, the officials assured the people gathered that they were safe. 


Let me know if you have any other Gujarati text you'd like me to translate!"
સામાજિક ન્યાયના સળગતા મુદ્દાઓએ તડકાની ખરા બપોરે શરૂ થયેલી ઘટના પર વર્ચસ્વ ઉભું કર્યું.,Burning social justice issues dominated the event that started on a sunny afternoon.,"The burning issues of social justice dominated the event that began in the scorching midday heat. 


Let me know if you have any other Gujarati text you'd like me to translate!"
"લગભગ 60,000 લોકોથી ગ્લોબલ સિટીઝન ફેસ્ટિવલ માટે પાર્કની ગ્રેટ લૉન ભરચક બની ગઈ, જેમાં કાર્ડી બી, ધ વીકન્ડ અને અન્ય પોપ સ્ટારની પણ રાહ જોવાતી હતી.","About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.","The Great Lawn of the park was packed with nearly 60,000 people for the Global Citizen Festival, where Cardi B, The Weeknd, and other pop stars were also expected."
કેટલાક સ્પીકરોએ પ્રેક્ષકોને સુપ્રીમ કોર્ટના નોમિની બ્રેટ્ટ કેવેનોહ માટે આ સપ્તાહની સેનેટ સુનાવણીમાં પ્રતિક્રિયા આપવા માટે તેમના કોંગ્રેસ સભ્યોને બોલાવવા કહ્યું હતું.,Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,"Some speakers urged the audience to respond to the Supreme Court nominee Brett Kavanaugh's Senate hearing this week by contacting their Congressional members. 


Let me know if you have any other Gujarati text you'd like me to translate!"
"બીજી ઓક્ટોબરથી અન્ના હજારે કરશે ભૂખ હડતાળ, PM મોદીને લખ્યો પત્ર",Anna Hazare will go on hunger strike from 2nd October. He wrote a letter to PM Modi.,"Anna Hazare to begin hunger strike from October 2nd, letter written to PM Modi 


Let me know if you'd like me to translate any other Gujarati text!"
મહારાષ્ટ્ર: સામાજીક કાર્યકર્તા અન્ના હજારેએ બીજી ઓક્ટોબરથી ભૂખ હડતાળનું એલાન કર્યું છે.,Maharashtra: The social activist Anna Hazare has announced hunger strike from 2nd October.,"Maharashtra: Social worker Anna Hazare has announced a hunger strike from October 2nd. 


Let me know if you have any other Gujarati text you'd like me to translate!"
અન્ના હજારેએ વડાપ્રધાન પર પ્રહાર કરતા કહ્યું કે ભાજપના નેતૃત્વવાળી સરકાર લોકપાલ આંદોલનના કારણે કેન્દ્રની સત્તામાં આવી છે.,Anna Hazare has heavily criticized the Prime minister mentioning that BJP-led government has come to the power in the centre due to the Lokpal movement.,"Anna Hazare, while attacking the Prime Minister, said that the BJP-led government came to power at the center due to the Lokpal movement. 


Let me know if you have any other Gujarati text you'd like me to translate!"
પરંતુ ચાર વર્ષ વીતી ગયા પણ સરકાર કોઈ ના કોઈ કારણથી લોકપાલ અને લોકાયુક્તની નિયુક્તિને ટાળી રહી છે.,Four years have passed but the government is avoiding electing Lokpal and Lokayukt for some reason or other.,"But four years have passed, but the government is avoiding the appointment of Lokpal and Lokayukta for some reason or the other. 


Let me know if you have any other Gujarati text you'd like me to translate!"
તેમણે કહ્યું કે તે લોકપાલ નિયુક્તને લઈને બીજી ઓક્ટબરથી ભૂખ હડતાળ શરૂ કરશે અને તેઓ પોતાના આ નિર્ણય પર અડગ છે.,"He added that regarding the Lokpal election, he will go on hunger strike from 2nd October and he remains firm in his decision.","They said they will start a hunger strike from October 2nd regarding the appointment of the Lokpal and they are firm on their decision. 


**Explanation:**

* **તેમણે કહ્યું:** They said
* **કે તે લોકપાલ નિયુક્તને લઈને:** that regarding the appointment of the Lokpal
* **બીજી ઓક્ટબરથી ભૂખ હડતાળ શરૂ કરશે:** they will start a hunger strike from October 2nd
* **અને તેઓ પોતાના આ નિર્ણય પર અડગ છે:** and they are firm on their decision. 



Let me know if you have any other Gujarati text you'd like me to translate!"
"અન્ના હજારેએ વડાપ્રધાન મોદીને ગુરુવારે પત્ર લખીને આરોપ લગાવ્યો છે કે, ચાર વર્ષમાં સરકારે બહાનાબાજી કરી અને લોકપાલની નિયુક્તિ કરી નથી.",Anna Hazare wrote a letter to PM Modi on Thursday alleging that in four years the government has just given excuses and has not appointed the Lokpal.,"Anna Hazare accused Prime Minister Modi in a letter on Thursday of making excuses for four years and not appointing a Lokpal. 


**Explanation:**

* **અન્ના હજારેએ** - Anna Hazare
* **વડાપ્રધાન મોદીને** - to Prime Minister Modi
* **ગુરુવારે પત્ર લખીને** - in a letter on Thursday
* **આરોપ લગાવ્યો છે** - has accused
* **ચાર વર્ષમાં** - in four years
* **સરકારે** - the government
* **બહાનાબાજી કરી** - has made excuses
* **અને** - and
* **લોકપાલની નિયુક્તિ કરી નથી** - has not appointed a Lokpal 



Let me know if you have any other Gujarati text you'd like me to translate!"
"અન્નાએ લખ્યું કે, લોકપાલ અને લોકાયુક્તની નિયુક્તિ માટે 16 ઓગસ્ટ 2011ના રોજ દેશ આખો રસ્તા પર ઉત્તરી આવ્યો હતો.","Anna wrote that on 16th August 2011, for the election of the Lokpal and Lokayukt, the whole country was marching on the roads.","Anna wrote that on August 16, 2011, the entire country had come out on the streets for the appointment of the Lokpal and Lokayukta. 


Let me know if you have any other Gujarati text you'd like me to translate!"
તમારી સરકાર આ આંદોલનના કારણે સત્તામાં આવી છે.,Your government has come to power due to this movement.,Your government came to power because of this movement.
અન્નાએ આ પહેલા પણ જાહેરાત કરી હતી કે ગાંધી જયંતીના અવસર પર 2જી ઓક્ટોબરથી રાલેગણ સિદ્ધીમાં અનશન કરશે.,"Earlier Anna had also announced that on the occasion of Gandhi Jayanti, he will start fasting from 2nd October in Ralegan Siddhi.","Anna had earlier announced that he would observe an indefinite fast at the Siddhi of Ralelgan from October 2nd on the occasion of Gandhi Jayanti. 


Let me know if you have any other Gujarati text you'd like me to translate!"
તેમણે શુક્રવારે સમાચાર એજન્સીને જણાવ્યું હતું કે ખેડૂતોને તેના ઉત્પાદનનો યોગ્ય ભાવ નથી મળી રહ્યા છે.,He told the news agency on Friday that farmers are not getting the right prices for their produce.,"They had informed the news agency on Friday that farmers were not getting the proper price for their produce. 


Let me know if you have any other Gujarati text you'd like me to translate!"
જેને લઈને ખેડૂતો આત્મહત્યા કરી રહ્યા છે.,Because of which they are killing themselves.,"The English translation of ""જેને લઈને ખેડૂતો આત્મહત્યા કરી રહ્યા છે"" is:

**For which farmers are committing suicide.** 


Let me know if you have any other Gujarati text you'd like me to translate!"
"સિવિલ હોસ્પિટલમાંથી સુપ્રીટેન્ડેન્ટની કારની ચોરી ,જુઆે CCTV","Superintendent's car stolen from the civil hospital, watch CCTV.","Car of Superintendent stolen from Civil Hospital, CCTV footage available 


Let me know if you have any other Gujarati text you'd like me to translate!"
"અમદાવાદનાં સરદારનગરમાં ""દેશી દારૂનો દરિયો"" ,અત્યાર સુધીની મહત્વની ખબરો જોવા અહીં ક્લિક કરો","Click here to see the Desi liquor in Sardar Nagar, Ahmedabad, and other important news.","In Ahmedabad's Sardarnagar, ""Sea of Desi Liquor"", for the latest important news, click here. 


**Explanation:**

* **અમદાવાદનાં સરદારનગરમાં** - In Ahmedabad's Sardarnagar
* **""દેશી દારૂનો દરિયો""** - ""Sea of Desi Liquor"" (Desi liquor refers to locally made liquor in India)
* **અત્યાર સુધીની મહત્વની ખબરો જોવા** - To see the latest important news
* **અહીં ક્લિક કરો** - Click here 



Let me know if you have any other Gujarati text you'd like me to translate!"
"સુરત: સિવિલ હોસ્પિટલમાંથી સુપ્રીટેન્ડેન્ટની કારની ચોરી ,જુઆે CCTV","Surat : Superintendent's car stolen from the civil hospital, watch CCTV.","Surat: Superintendent's car stolen from Civil Hospital, caught on CCTV 


Let me know if you have any other Gujarati text you'd like me to translate!"
"અમદાવાદ: સેટેલાઈટ પોલીસે નકલી PSIની કરી ધરપકડ ,જુઆે વીડિયો","Ahmedabad : Satellite Police arrested the fake PSI, watch video.","Ahmedabad: Satellite Police arrest fake PSI, video of the incident 


Let me know if you'd like me to translate any other Gujarati text!"
"સુરત: સચિન વિસ્તારમાં પતિએ પત્ની પર કર્યો જીવલેણ હુમલો ,જુઆે વીડિયો","Surat : In Sachin area, a husband attacked his wife, watch the video.","Surat: Husband attacks wife in Sachin area, video goes viral 


Let me know if you have any other Gujarati text you'd like me to translate!"
"મારું ગામ, મારી વાત: જૂનાગઢની સરસઈનો અહેવાલ","My village, my talk : Junagadh report.","My Village, My Story: A Report on Sarsai of Junagadh 


Let me know if you'd like me to translate any other Gujarati text!"
"ગાંભોઈ દુષ્કર્મ કેસ બાદ બાળ અાયોગ અાવ્યું હરકતમાં ,અત્યાર સુધીની મહત્વની ખબરો જોવા અહીં ક્લિક કરો","After Gambhoi rape case, the truth has come out. Click here to watch the important news until now.","After the Gandhoi crime case, a child's body was found. For the latest important news, click here. 


Let me know if you have any other Gujarati text you'd like me to translate!"
"ઈંડોનેશિયામાં તબાહી,384 લોકોના માેત ,અત્યાર સુધીની મહત્વની ખબરો જોવા અહીં ક્લિક કરો","Indonesia devastated, 384 died, click here to see the important news.","Devastation in Indonesia, 384 people dead, for the latest news click here. 


Let me know if you have any other Gujarati text you'd like me to translate!"
"સુરત: વિધાર્થીઓએ સૌથી નાનું સેટેલાઈટ બનાવ્યું ,જુઆે વીડિયો","Surat: Students created a small satellite, see the video.","Surat: Students built the smallest satellite, watch the video 


Let me know if you'd like me to translate any other Gujarati text!"
"કેદારનાથમાં થઈ બરફ વર્ષા ,જુઆે વીડિયો","Snow in Kedarnath, see the video.","Snowfall in Kedarnath, recent video"
"વલસાડઃ પાણીની પાઇપ લાઇન તૂટી જતાં રસ્તા પર ભરાયા પાણી, જુઓ વીડિયો","Valsad: water pipe line bursts flooding the road, see the video.","Valsad: Water pipe line burst, water flooded the road, see video 


Let me know if you have any other Gujarati text you'd like me to translate!"
"લખનઉમાં પોલીસ ફાયરિંગમાં અેપલના મેનેજરનું મોત ,જુઆે વીડિયો","Apple manager dies in police firing in Lucknow, see the video.","Apple manager killed in police firing in Lucknow, video of the incident. 


Let me know if you'd like me to translate any other Gujarati text!"
"સાબરકાંઠા: બે વર્ષની બાળકી પર યુવકે ગુજાર્યો બળાત્કાર ,જુઆે વીડિયો","Sabarkantha : a man rapes two year old girl, see the video.","Sabarkantha: Youth commits rape on 2-year-old girl, video goes viral 


**Please note:** This is a very serious and disturbing topic.  It's important to remember that sexual violence against children is a crime and should never be tolerated."
