Source,Reference,Translation
"সফরের সময়সূচি অনুযায়ী, সিঙ্গাপুর এয়ারলাইন্সের একটি নিয়মিত ফ্লাইট রাষ্ট্রপতি ও তার সফরসঙ্গীদের নিয়ে হজরত শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে উড্ডয়ন করবে।","According to the schedule of the visit, a regular flight of Singapore Airlines carrying the President and his entourage members will take off from Hazrat Shahjalal International Airport.","According to the schedule, Singapore Airlines will operate a regular flight from Hazrat Shahjalal International Airport with the President of the country and his delegation."
"শহীদুল হক বলেন, বৈঠকে প্রধানমন্ত্রী উন্নয়নের কাঙ্ক্ষিত লক্ষ্য অর্জনে এই অঞ্চলে শান্তি ও স্থিতিশীলতার ওপর গুরুত্ব আরোপ করেন।","Shahidul Haque said, in the meeting Prime Minister gave emphasis on peace and stability in the region to achieve the cherished goals of development.","Shaheedul Haque said, ""The Prime Minister has emphasized the importance of maintaining peace and stability in this region to achieve the goals of development."""
নাশকতার মামলায় বিএনপির স্থায়ী কমিটির সদস্য ব্যারিস্টার মওদুদ আহমদ ও বিএনপির আইন বিষয়ক সম্পাদক অ্যাডভোকেট সানাউল্লাহ মিয়াকে আগাম জামিন দিয়েছেন হাইকোর্ট।,The High Court has granted anticipatory bail to BNP standing committee member Moudud Ahmed and BNP's law affairs secretary advocate Sanaullah Mia in sabotage case.,"The High Court has issued an arrest warrant for Barrister Mahmud Ahmed, a member of the BNP's permanent committee, and Advocate Sanaulah Mia, the law affairs editor of the BNP, in a case related to subversive activities."
তারা শেখ হাসিনার সুস্বাস্থ্য ও দীর্ঘায়ু কামনা করেন।,They wished Sheikh Hasina good health and long life.,They yearn for Hasan's good health and a long life.
"অর্থমন্ত্রী বলেন, বিশ্বব্যাংক আমাদের কখনো সাড়ে ৬ ভাগের বেশি প্রবৃদ্ধি হবে বলত না।","The finance minister said, the World Bank never said that we would have growth more than 6.5 percent.",The Finance Minister stated that the World Bank has never projected that our country's GDP would grow by more than 6% in the future.
একই সঙ্গে সেখানে বসবাসরত বাংলাদেশিদের সতর্ক থাকতে বলা হয়েছে।,"At the same time, Bangladeshis living there have been asked to remain alert.","The text translates to:

""It has been advised that the people of Bangladesh living in that area should remain vigilant."""
হাসপাতালের উপপরিচালক লক্ষ্মী নারায়ণ এটি নিশ্চিত করেছেন।,Deputy Director of the hospital Dr Laxmi Narayan Majumder confirmed this.,"The deputy director of the hospital, Lakshmi Narayan, has confirmed this."
বিশ্ব পর্যটন সংস্থায় বাংলাদেশের স্থায়ী প্রতিনিধি এবং রাষ্ট্রদূত হাসান মাহমুদ খন্দকার বিমানবন্দরে প্রধানমন্ত্রীকে স্বাগত জানাবেন।,Ambassador and Permanent Representative of Bangladesh to the World Tourism Organization Hassan Mahmood Khandker will receive the prime minister at the airport.,"The World Tourism Organization delegation, led by its representative and ambassador Hasan Mahmud Khan, welcomed the Prime Minister at the airport."
"কাউকে ক্যাসিনো ব্যবসা করতে দেয়া হবে না , স্বরাষ্ট্রমন্ত্রী","Nobody will be allowed to run casino business, Home Minister","The government will not allow gambling business to operate, said the Health Minister."
প্রথম ও একমাত্র বাংলাদেশী মোবাইল ফোন উৎপাদনকারী প্রতিষ্ঠান হিসেবে ওয়ালটন এই অর্জন করেছে।,Walton is the first and only Bangladeshi mobile phone manufacturing company to achieve the feat.,Walton has become the first and only mobile phone manufacturer in Bangladesh to achieve this milestone.
তাদের ঢাকা মেডিক্যাল কলেজ হাসপাতালে নেওয়া হয়েছে।,They were taken to Dhaka Medical College Hospital.,They have been admitted to Dhaka Medical College Hospital.
এদের মধ্যে রাশেদ খান মেননকে বেসামরিক বিমান পরিবহন ও পর্যটন মন্ত্রণালয় থেকে বদলি করে সমাজকল্যাণ মন্ত্রণালয়ে দেওয়া হয়েছে।,"Among them, Rashed Khan Menon has been transferred from the Ministry of Civil Aviation and Tourism to the Ministry of Social Welfare.","Among them, Raheed Khan Menon has been transferred from the Ministry of Civil Aviation and Tourism to the Ministry of Social Welfare."
বিশ্ববিদ্যালয় মঞ্জুরি কমিশনের (ইউজিসি) নতুন চেয়ারম্যান হয়েছেন ঢাকা বিশ্ববিদ্যালয়ের ইতিহাস বিভাগের সংখ্যাতিরিক্ত অধ্যাপক ড. কাজী শহীদুল্লাহ।,"Professor Dr Kazi Shahidullah, Supernumerary Professor of the Depatment of History of Dhaka University, has been appointed as new chairman of the University Grants Commission (UGC).","Dr. Kajee Shahidullah, a professor of the Department of History at Dhaka University, has been appointed as the new chairman of the University Grants Commission (UGC)."
বাংলাদেশী ভ্রমণকারীদের ভারতে যাওয়া-আসার বিধিনিষেধ অপসারণ,"Entry, exit restrictions to India for Bangladeshi travellers lifted",Guidelines for the issuance of visas to Bangladeshi tourists entering and exiting India have been relaxed.
